feature,score
NADH010105,0.2026030341955417
FINA910103,0.20103493228213332
GUYH850101,0.2005407753011557
KRIW790101,0.19752621964221195
QIAN880122,0.1949582936337696
NADH010102,0.1947196405209
GUYH850105,0.1945438904084677
PALJ810104,0.19343029023280028
RADA880104,0.19336351846066718
ROSG850102,0.19147592641890343
CHOC760103,0.19068279467403795
BAEK050101,0.1904447257105499
CASG920101,0.18985188695184493
FASG890101,0.18746437640670252
EISD840101,0.18714279894947666
RACS770102,0.18587522001349469
BASU050103,0.1847671454805465
BIOV880101,0.18449972445736784
JANJ780102,0.18442441133609486
MEIH800102,0.18320751268693627
PONP800101,0.18304656028310143
CHOC760102,0.18303255406533037
JANJ790101,0.18284892819096346
MIYS990105,0.18243160680752613
NADH010101,0.1822523823036397
RICJ880113,0.181616768961324
MEIH800101,0.1808212180949849
MIYS990104,0.18008444224435682
PONP800102,0.17986447238099337
BIOV880102,0.17917129658738912
OLSK800101,0.1789227245470254
ZHOH040103,0.1785773237908752
MIYS990103,0.17849445876553466
PONP930101,0.17814771800255422
JANJ790102,0.17719028458445024
BEGF750102,0.17631280936257143
GUYH850104,0.17615864847112314
RADA880107,0.1757226258898359
CORJ870101,0.17563115810816013
COWR900101,0.1745354364598483
FAUJ880109,0.1745280079525184
MANP780101,0.17412156673959536
VINM940101,0.1739843458087386
CIDH920104,0.17388607470925768
NAKH900110,0.1734895040535084
JANJ780101,0.1731610279193459
KARP850102,0.17314308850565815
KRIW790102,0.1729000346201006
RADA880108,0.17288026939343507
NAGK730102,0.17283051654614706
NISK800101,0.17279742000593415
JANJ780103,0.17225232168658475
JURD980101,0.1720768804686606
PONP800108,0.17181709190426195
PONP800104,0.17159249611063287
VINM940104,0.17156251053024107
NISK860101,0.17111710496609822
RADA880101,0.16969418730086727
gravy,0.169636704602595
PUNT030101,0.1695103888593195
KYTJ820101,0.16899487799304314
PONP800103,0.1686178575899031
OOBM770103,0.16748584981106285
instability_index,0.16699604107644422
CHOP780209,0.16693317635099336
MIYS850101,0.16689115236837035
RADA880105,0.16649286346917827
KIDA850101,0.16633316673292037
EISD860103,0.16563447729775804
SUYM030101,0.16464292954664278
DESM900102,0.16416805265669313
PONP800107,0.16401845055438377
RACS770101,0.1640082423124724
PARS000101,0.1639750237615741
KANM800102,0.16392504405902136
ROSM880105,0.16292117673612402
CHOC760104,0.16224228741548855
PALJ810112,0.16213479263368122
KOEP990102,0.16196145710416562
RADA880102,0.16194078814702592
MAXF760106,0.16156630264868424
FAUJ830101,0.16141393419654368
OOBM770101,0.1613577604776155
WOLR810101,0.16099497189785672
FASG760102,0.1609899683240191
ROSM880102,0.16029274658498757
ROSM880101,0.16018572932210398
GEIM800107,0.15986075905873484
WOLR790101,0.1589203251315447
KUHL950101,0.15885325836567254
DESM900101,0.15878723903191355
PTIO830102,0.15808517101594016
MEEJ810102,0.15788626898513478
NOZY710101,0.15784826463231189
BLAS910101,0.157526311680259
PUNT030102,0.15674769352783274
MONM990201,0.15657407507102972
VHEG790101,0.1565103568862425
MIYS990102,0.15639132098656866
CHOP780202,0.1559711065385635
MIYS990101,0.1556465114059085
KARP850101,0.15550301135237632
JACR890101,0.15520487920791806
ISOY800106,0.15518052546727815
MEIH800103,0.1538525671661735
HOPT810101,0.15368178436889232
RACS770103,0.1536037737171815
LEVM780102,0.15323466763786678
PRAM900103,0.15323466763786678
MONM990101,0.15274056218180887
FUKS010104,0.15260651497032832
