feature,score
MIYS850101,0.1857273906046212
WERD780101,0.1847082604857844
ROBB760102,0.18374723747429592
g5.g5.g1,0.1836614535904676
NAKH920106,0.1831932329449772
VINM940103,0.18265981233604248
CHAM820102,0.18244704298534678
RACS820103,0.18150285184833098
MEIH800103,0.18059559515767415
FUKS010102,0.18057450229085842
JOND750102,0.17928295563659113
ARGP820102,0.17901478736169332
RICJ880101,0.17815488224329787
RICJ880102,0.17815488224329787
SNEP660104,0.17792993632500326
OLSK800101,0.17779876977793632
NADH010105,0.17770548359934288
MITS020101,0.17714272117084057
MIYS990102,0.1771137244988518
MIYS990101,0.17665424861707743
gravy,0.17637550569200774
VINM940101,0.17609099269580766
KYTJ820101,0.17562889520078148
BASU050103,0.17525756553121186
KUHL950101,0.17500011568635204
RICJ880116,0.17252356165395438
DAWD720101,0.1722329037430843
MEEJ810101,0.1715881407133628
NOZY710101,0.17130974930033932
OOBM850103,0.16904686015649018
JANJ790101,0.1686565024564456
ZIMJ680105,0.16830849241709175
NAKH900102,0.16828062110587266
PLIV810101,0.1680128309439621
PUNT030102,0.1671565548422255
WOLS870101,0.16704113268810408
CHAM830105,0.1651436811277147
BHAR880101,0.1649793476485195
VINM940104,0.16472512709823264
AURR980103,0.16406758363236856
MONM990201,0.16367764078862296
NADH010101,0.16326907762631376
GRAR740102,0.16198401103728172
NAKH900105,0.1611309369256055
EISD860103,0.1604786159369733
PONP800102,0.16044875557312382
CHOP780212,0.15811244283440065
g5.g5.g5,0.15693581098679682
ARGP820103,0.15590679436311125
RACS820105,0.1556035239929677
BROC820101,0.15555074738561173
KARP850102,0.15385855509748397
LEVM760105,0.1532699854482464
QIAN880122,0.1531986641553824
GEIM800103,0.15253824583628842
FASG760103,0.15218295719654504
MEIH800101,0.15150593953183558
DESM900101,0.15089686407642255
AURR980116,0.15056104785110896
NAKH900103,0.1504450194781647
CHAM830108,0.14996860176230353
QIAN880113,0.14850070808397448
DIGM050101,0.1483966092901761
NAKH900112,0.14836407320405265
NISK860101,0.1473016046053139
WARP780101,0.14699901462032858
AVBF000106,0.14691257524028453
BUNA790102,0.14664853113726223
BULH740101,0.1466102884088552
AURR980119,0.14659124192542822
CHOC760104,0.14612366944109959
CORJ870106,0.14507268545557267
SUYM030101,0.14442522048511797
QIAN880117,0.14407888315203315
AURR980114,0.144070755847592
PONP800108,0.14389145575188864
PRAM820102,0.14343804743985386
g1.g5.g1,0.14322142753096753
CHOP780204,0.14262940291837026
QIAN880110,0.14255624372781933
